id,name,category,description,eligibility,address,lat,lng,hours,phone,website,walk_in,last_verified
1,Rivertown Community Dental Clinic,health,"Free and low-cost dental care for children and adults. Sliding scale fees based on income. Offers cleanings extractions and emergency dental pain relief.","No insurance required; sliding scale; children and adults welcome",100 Elm St Rivertown,30.2700,-97.7400,Mon-Fri 08:00-17:00,555-010-0001,www.rivertowndental-example.org,TRUE,2026-06-01
2,Northside Family Health Center,health,"Full primary care clinic offering pediatric checkups vaccinations and chronic disease management. Bilingual staff on site.","Uninsured and underinsured accepted; families prioritized",210 Oak Ave Rivertown,30.2825,-97.7300,Mon-Sat 07:30-19:00,555-010-0002,www.northsidehealth-example.org,TRUE,2026-05-15
3,Rivertown Free Pharmacy Program,health,"Provides free prescription medications for qualifying low-income residents including diabetes and blood pressure medication.","Household income under 200% federal poverty line; ID required",45 Maple Rd Rivertown,30.2650,-97.7550,Tue-Thu 09:00-15:00,555-010-0003,www.rivertownrx-example.org,FALSE,2026-04-20
4,Hillcrest Mental Health Counseling,mental_health,"Individual and group therapy sessions on a sliding scale. Specializes in anxiety depression and trauma counseling for teens and adults.","Sliding scale fee; no insurance required; ages 13+",78 Hillcrest Dr Rivertown,30.2900,-97.7250,Mon-Fri 09:00-18:00,555-010-0004,www.hillcrestcounseling-example.org,FALSE,2026-06-10
5,Rivertown Crisis Counseling Hotline,mental_health,"24/7 phone counseling for mental health crises including suicide prevention and emotional support. Free and confidential.","Free; open to anyone; no eligibility requirements",N/A - Phone Service,30.2700,-97.7400,24/7,555-010-0005,www.rivertowncrisisline-example.org,FALSE,2026-06-15
6,Downtown Youth Counseling Center,mental_health,"Counseling services specifically for children and teenagers dealing with anxiety school stress and family issues.","Ages 5-18; parental consent required; sliding scale",300 Center St Rivertown,30.2680,-97.7420,Mon-Fri 10:00-17:00,555-010-0006,www.downtownyouthcounseling-example.org,TRUE,2026-05-01
7,Rivertown Emergency Shelter,shelter,"Overnight emergency shelter beds for individuals and families experiencing homelessness. Meals provided.","Open to all; families with children given priority; walk-ins accepted after 4pm",500 River Rd Rivertown,30.2600,-97.7500,24/7,555-010-0007,www.rivertownshelter-example.org,TRUE,2026-06-20
8,Safe Haven Domestic Violence Shelter,shelter,"Confidential emergency shelter for individuals and families fleeing domestic violence. Includes safety planning and legal advocacy.","Survivors of domestic violence and their children; confidential intake",Address withheld for safety,30.2750,-97.7450,24/7,555-010-0008,www.safehaven-example.org,FALSE,2026-06-18
9,Rivertown Winter Warming Center,shelter,"Seasonal overnight shelter open during cold weather months providing beds blankets and hot meals.","Open to all; seasonal Nov-Mar only",120 Winter Ave Rivertown,30.2620,-97.7480,Nov-Mar daily 18:00-08:00,555-010-0009,www.rivertownwarming-example.org,TRUE,2026-01-05
10,St. Mary's Food Pantry,food,"Weekly grocery distribution including fresh produce canned goods and baby formula. No proof of income required.","No documentation required; once per week per household",88 Church St Rivertown,30.2710,-97.7380,"Tue,Thu 09:00-12:00",555-010-0010,www.stmarysfoodpantry-example.org,TRUE,2026-06-01
