id,name,category,description,eligibility,address,lat,lng,hours,phone,website,walk_in,last_verified
1000,Medical Mobile Unit #4 (Specialty),health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"3550 Swingle Rd, Houston, TX, 77047-3763",29.61976408,-95.36694253,Call to confirm hours,346-426-0500,,,2026-07-05
1001,HACS: Spring-Cypress,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"17010 Sugar Pine Dr, Houston, TX, 77090-2299",30.01075229,-95.45960975,Call to confirm hours,713-426-0027,www.hacstxs.org,,2026-07-05
1002,Legacy Bissonnet Street,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"12667 Bissonnet St, Houston, TX, 77099-1331",29.67680042,-95.60185484,Call to confirm hours,832-548-5000,www.legacycommunityhealth.org,,2026-07-05
1003,Legacy Gulfton Dashwood 200,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"5420 Dashwood Dr, Ste 200, Houston, TX, 77081-5332",29.70747236,-95.47504151,Call to confirm hours,832-548-5000,,,2026-07-05
1004,HOPE Aldine Meadows School Based Clinic,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"2112 Aldine Meadows Rd, Houston, TX, 77032-3125",29.93463798,-95.35293897,Call to confirm hours,713-773-0803,,,2026-07-05
1005,Legacy Fifth Ward Lyons,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"3811 Lyons Ave, Houston, TX, 77020-8306",29.77629344,-95.33153528,Call to confirm hours,832-548-5000,www.legacycommunityhealth.org,,2026-07-05
1006,Legacy Southwest Clinic,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"6441 High Star Dr, Houston, TX, 77074-5005",29.71041424,-95.49455743,Call to confirm hours,713-830-3000,,,2026-07-05
1007,Galena Park - ACT,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"13940 Bonham St, Houston, TX, 77015-5108",29.7761152,-95.17683677,Call to confirm hours,832-548-5000,legacycommunityhealth.org,,2026-07-05
1008,Legacy Wellness Bar,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"120 Westheimer Rd STE F, Houston, TX, 77006-3332",29.74498225,-95.38258752,Call to confirm hours,832-548-5000,,,2026-07-05
1009,YES Prep Fifth Ward,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"1305 Benson St, Houston, TX, 77020-4044",29.77407395,-95.33007951,Call to confirm hours,832-548-5000,,,2026-07-05
