id,name,category,description,eligibility,address,lat,lng,hours,phone,website,walk_in,last_verified
2000, Community Food Pantry,food,"Weekly grocery distribution including fresh produce and canned goods for families in need. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",No documentation required; once per week per household,"1924 Main St, Houston, TX, 77095",29.692909,-95.452837,Mon-Fri 10:00-19:00,713-304-9935,,TRUE,7/5/2026
2001, Regional Food Bank,food,"Large-scale food distribution center serving individuals and partner pantries across the metro area. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Open to all residents; ID recommended not required,"9774 Griggs Rd, Houston, TX, 77005",29.619339,-95.454209,Mon-Sat 08:00-16:00,713-816-1434,,TRUE,7/5/2026
2002, Mobile Food Pantry,food,"Rotating mobile food distribution bringing groceries directly to underserved neighborhoods. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",No documentation required; check schedule for rotating locations,"9028 Griggs Rd, Houston, TX, 77029",29.745163,-95.436343,Mon-Fri 09:00-17:00,713-977-3615,,FALSE,7/5/2026
2003, Senior Meal Delivery Program,food,"Home-delivered meals for homebound seniors who can't shop or cook for themselves. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Ages 60+; homebound status required,"5674 Telephone Rd, Houston, TX, 77020",29.674994,-95.290752,Mon-Fri 09:00-17:00,713-294-7224,,TRUE,7/5/2026
2004, School Backpack Meal Program,food,"Weekend food backpacks for children who rely on school meals during the week. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",School-age children enrolled in a partner school district,"5981 Broadway St, Houston, TX, 77078",29.689756,-95.506765,"Tue,Thu 09:00-13:00",713-749-3045,,FALSE,7/5/2026
2005, Community Fridge Network,food,"Free-access refrigerators stocked with perishable food, available any time with no sign-up. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free; open to anyone; no questions asked,"1391 Gessner Rd, Houston, TX, 77081",29.795956,-95.261288,Mon-Sat 08:00-16:00,713-396-2139,,TRUE,7/5/2026
2006, Church Food Pantry,food,"Weekly food pantry operated by a local congregation, open to the surrounding community. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",No documentation required; open to all,"3833 Gessner Rd, Houston, TX, 77011",29.866995,-95.259855,"Tue,Thu 09:00-13:00",713-484-8428,,FALSE,7/5/2026
2007, Holiday Meal Assistance Program,food,"Seasonal meal and grocery assistance around major holidays for low-income households. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Income-based; registration required in advance,"2764 Broadway St, Houston, TX, 77046",29.673252,-95.439707,Mon-Fri 10:00-19:00,713-863-2169,,TRUE,7/5/2026
2008, WIC Nutrition Program Office,food,"Nutrition assistance, breastfeeding support, and food vouchers for pregnant women, new mothers, and young children. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.","Pregnant women, new mothers, or children under 5; income-based","8851 Airline Dr, Houston, TX, 77021",29.749078,-95.438816,Mon-Fri 10:00-19:00,713-904-4598,,FALSE,7/5/2026
2009, Farmers Market Food Voucher Program,food,"Provides vouchers usable at local farmers markets for fresh produce. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Income-based; SNAP recipients prioritized,"1016 Airline Dr, Houston, TX, 77005",29.851914,-95.399451,Mon-Fri 09:00-17:00,713-416-6155,,TRUE,7/5/2026
