id,name,category,description,eligibility,address,lat,lng,hours,phone,website,walk_in,last_verified
3001,Houston Food Bank,food,"The largest food bank in the region, distributing food through more than 1,500 community partner agencies across 18 southeast Texas counties, including on-site distribution.",Open to all residents in need; no documentation required for most distributions,"535 Portwall St, Houston, TX 77029",,,Mon-Fri 07:00-17:00,713-223-3700,www.houstonfoodbank.org,TRUE,2026-07-05
3002,Interfaith Ministries for Greater Houston - Meals on Wheels,food,"Delivers home-cooked meals to homebound seniors and disabled adults across Harris and Galveston counties, along with weekend meals and pet food for clients' animals through the Animeals program.",Homebound seniors (60+) and disabled adults in Harris/Galveston/Montgomery/Liberty/Chambers counties,"3303 Main St, Houston, TX 77002",,,Mon-Fri 09:00-17:00,713-533-4900,www.imgh.org,FALSE,2026-07-05
3003,Bread of Life Inc,food,"Provides emergency food assistance and meals for unhoused individuals and families in the Houston area, alongside broader emergency service support.",Open to individuals and families in need,"2019 Crawford St, Houston, TX 77003",,,Mon-Fri 09:00-15:00,832-548-0284,,FALSE,2026-07-05
3004,Salvation Army - Center of Hope for Men,shelter,"Emergency and transitional shelter providing beds, meals, and program support for single men experiencing homelessness, with case management toward permanent housing.","Single men experiencing homelessness; intake Mon-Fri 8:00am-5:00pm","1717 Congress St, Houston, TX 77002",,,24/7,713-223-8889,www.salvationarmyhouston.org,TRUE,2026-07-05
3005,Salvation Army Family Residence for Women and Children,shelter,"Emergency shelter providing beds, meals, and case management for women and children experiencing homelessness.",Women and children experiencing homelessness,"1603 McGowen St, Houston, TX 77004",,,24/7,713-650-6530,www.salvationarmyhouston.org,TRUE,2026-07-05
3006,Star of Hope - Men's Development Center,shelter,"Christ-centered emergency shelter and residential program for homeless men, offering meals, case management, and recovery support programs. Maximum stay of 30 days unless an extension is granted.","Adult men experiencing homelessness; intake Mon-Fri 8:00am-3:30pm","1811 Ruiz St, Houston, TX 77002",,,24/7,713-227-8900,www.sohmission.org,TRUE,2026-07-05
3007,Star of Hope - Cornerstone Community (Women & Family),shelter,"Christ-centered emergency shelter for homeless women and families with children, providing meals, on-site daycare, and programs toward stable housing.",Women and families with children experiencing homelessness,"2575 Reed Road, Houston, TX 77051",,,24/7,713-222-2220,www.sohmission.org,TRUE,2026-07-05
3008,Magnificat House,shelter,"Provides emergency and transitional housing along with meal support for individuals experiencing homelessness in Houston.",Open to individuals experiencing homelessness; residents contribute to household upkeep,"3209 Austin Street, Houston, TX 77004",,,24/7,713-529-4231,,TRUE,2026-07-05
3009,Covenant House Texas,shelter,"Emergency shelter and transitional housing specifically for homeless and trafficked youth, offering crisis intervention, case management, education, and job-readiness support.","Youth ages 18-24; open 24/7 walk-in intake","1111 Lovett Blvd, Houston, TX 77006",,,24/7,713-523-2231,www.covenanthousetx.org,TRUE,2026-07-05
3010,Mission of Yahweh,shelter,"Emergency shelter providing housing, meals, and support services for women and their children experiencing homelessness.",Women and children experiencing homelessness,"10247 Algiers Rd, Houston, TX 77041",,,24/7,713-466-4785,,TRUE,2026-07-05
3011,Santa Maria Hostel,shelter,"Residential shelter and recovery program for women, including those with substance use needs, offering housing alongside treatment services.","Women, including those seeking residential recovery services","2005 Jacquelyn Dr, Houston, TX 77055",,,24/7,713-691-0900,,FALSE,2026-07-05
3012,The Beacon Day Center,shelter,"Day shelter for people experiencing homelessness offering hot meals, showers, laundry facilities, and case management. Does not provide overnight beds.",Open to all people experiencing homelessness; no overnight beds,"1212 Prairie St, Houston, TX 77002",,,Thu-Mon 07:00-15:00,713-220-9737,,TRUE,2026-07-05
3013,Lone Star Legal Aid - Houston Office,legal,"Provides free civil legal representation and advice to low-income Texans on housing, eviction defense, family law, consumer, and public benefits matters. Accepts walk-in, phone, and online applications.",Household income generally under 125% of the Federal Poverty Guidelines; some special projects have broader eligibility,"1415 Fannin Street, Houston, TX 77002",,,Mon-Fri 08:00-17:00,713-652-0077,www.lonestarlegal.org,TRUE,2026-07-05
3014,AVDA (Aid to Victims of Domestic Abuse),legal,"Provides free legal representation in family law matters — including protective orders, divorce, child custody, and child support — specifically for survivors of domestic violence in Harris and Fort Bend counties.","Survivors of domestic violence in Harris/Fort Bend county; protective order services have no income restriction","1001 Texas Ave Suite 600, Houston, TX 77002",,,Mon-Fri 08:00-17:00,713-224-9911,www.avda-tx.org,FALSE,2026-07-05
3015,BakerRipley Utility Assistance Program (CEAP),financial,"Helps eligible households in Harris, Brazoria, and Galveston counties pay electricity, gas, or propane utility bills through the Comprehensive Energy Assistance Program, funded by the Texas Department of Housing and Community Affairs.","Household income at or below 150% of the Federal Poverty Level; must reside in Harris, Brazoria, or Galveston County","3838 Aberdeen Way, Houston, TX 77025",,,Mon-Fri 08:00-17:00,713-590-2327,www.bakerripley.org,FALSE,2026-07-05
3016,Christian Community Service Center (CCSC) Central,financial,"Provides rent, utility, and food assistance along with counseling, adoption, and immigration services through an appointment-based intake process.","Income-based; appointment required, scheduled on a first-call basis","3434 Branard St, Houston, TX 77027",,,Mon-Fri 10:00-14:00,713-871-9741,,FALSE,2026-07-05
3017,Texas Rent Relief Program,financial,"Statewide program providing emergency rental and utility assistance to eligible Texas households experiencing financial hardship, administered by the Texas Department of Housing and Community Affairs.",Texas residents experiencing financial hardship affecting ability to pay rent or utilities; income limits apply,N/A - Phone/Online Service,,,Mon-Fri 08:00-17:00,833-989-7368,www.texasrentrelief.com,FALSE,2026-07-05
3018,BakerRipley Early Childhood Development Center,childcare,"Free, federally-funded Head Start program providing early childhood education for preschool-age children, with a curriculum aligned to Texas educational standards.",Children ages 3-5; income-eligible families,"8575 Pitner Rd Building 1, Houston, TX 77080",,,Mon-Fri 07:45-15:00,713-779-4856,www.bakerripley.org,FALSE,2026-07-05
3019,BakerRipley Head Start - Sharpview,childcare,"Free Early Head Start and Head Start preschool program serving infants through preschool-age children.",Children ages 0-4; income-eligible families,"12280 Sharpview Drive, Houston, TX 77072",,,Mon-Fri 07:45-15:00,713-669-5287,www.bakerripley.org,FALSE,2026-07-05
3020,BakerRipley Head Start - Hiram Clarke,childcare,"Free Head Start preschool program serving young children in the Hiram Clarke area of Houston.",Children ages 0-4; income-eligible families,"3810 West Fuqua Street, Houston, TX 77045",,,Mon-Fri 07:45-15:00,713-491-6178,www.bakerripley.org,FALSE,2026-07-05
3021,Workforce Solutions Childcare Financial Assistance,childcare,"Provides subsidized childcare assistance for low-to-moderate income working families, covering up to 12 months with the option for annual recertification.",Household income up to 85% of the State Median Income; parent must be working or in school,N/A - Phone/Online Service,,,Mon-Fri 07:00-17:00,713-334-5980,www.wrksolutions.com,FALSE,2026-07-05
3022,The Harris Center for Mental Health and IDD - Crisis and Access Line,mental_health,"24/7 crisis phone line staffed by counselors for anyone experiencing a behavioral health crisis, alongside outpatient clinics offering medication management and counseling on a sliding scale.",Open to all Harris County residents; services not denied based on inability to pay,"9401 Southwest Fwy, Houston, TX 77074",,,24/7,713-970-7000,www.theharriscenter.org,FALSE,2026-07-05
3023,Montrose Center,mental_health,"LGBTQ+-affirming counseling center offering individual, couples, and group therapy, substance use treatment, and case management. Discounted fees available for uninsured clients.",Open to all; LGBTQ+ affirming; discounted fees for uninsured clients,"401 Branard Street, Houston, TX 77006",,,Mon-Fri 09:00-21:00,713-529-0037,www.montrosecenter.org,FALSE,2026-07-05
3024,Houston Area Women's Center,mental_health,"Provides counseling, case management, and a 24-hour hotline for survivors of domestic and sexual violence.",Survivors of domestic or sexual violence; hotline open to all,"1010 Waugh Dr, Houston, TX 77019",,,Mon-Fri 08:00-17:00,713-528-6798,www.hawc.org,FALSE,2026-07-05
3025,Coalition for the Homeless of Houston/Harris County,other,"Coordinates the region's homeless response system (The Way Home) and provides referrals to emergency shelters, housing programs, and other homeless services across Harris, Fort Bend, and Montgomery counties.",Individuals experiencing homelessness seeking referrals to services,"2000 Crawford Street Suite 700, Houston, TX 77002",,,Mon-Fri 09:00-17:00,713-739-7514,www.homelesshouston.org,FALSE,2026-07-05
3026,SEARCH Homeless Services,other,"Day center and outreach program offering case management, meals, and a jail in-reach program to help people experiencing homelessness access services and housing.",Open to people experiencing homelessness,"2015 Congress Avenue, Houston, TX 77002",,,Mon-Fri 08:00-15:00,713-739-7752,www.searchhomeless.org,TRUE,2026-07-05
3027,United Way of Greater Houston 211 Helpline,other,"24/7 information and referral hotline connecting callers to local social services, including food, housing, healthcare, and financial assistance programs.",Free; open to anyone,N/A - Phone Service,,,24/7,211,www.unitedwayhouston.org,FALSE,2026-07-05
3028,Care Connection Aging and Disability Resource Center,other,"Provides free, confidential information and referral assistance connecting older adults, veterans, and individuals with disabilities to services, benefits, and community supports in Harris County.","Older adults, veterans, and individuals of all ages with disabilities in Harris County","8000 North Stadium Drive, Houston, TX 77054",,,Mon-Fri 08:00-17:00,832-393-5500,www.careconnection.org,FALSE,2026-07-05
